name,industry,funding_total_usd,status,country,funding_rounds,founded_year
#waywire,News,1750000,acquired,United States,1,2012
'Rock' Your Paper,Publishing,40000,operating,Estonia,1,2012
(In)Touch Network,Electronics,1500000,operating,United Kingdom,1,2011
-R- Ranch and Mine,Tourism,60000,operating,United States,2,2014
004 Technologies,Software,0,operating,United States,1,2010
"1,2,3 Listo",E-Commerce,40000,operating,Chile,1,2012
1.618 Technology,Real Estate,0,operating,United States,1,2013
10 Minutes With,Education,4400000,operating,United Kingdom,2,2013
10-20 Media,E-Commerce,2050000,operating,United States,4,2001
1000 Corks,Search,40000,operating,United States,1,2008
1000memories,Curated Web,2535000,acquired,United States,2,2010
1000museums.com,Curated Web,4962651,operating,United States,6,2008
1001 Menus,Restaurants,4059079,operating,France,4,2010
1006.tv,Media,10000000,operating,China,3,2009
100health,Health Care Information Technology,420000,operating,United States,1,2014
100Plus,Analytics,1250000,acquired,United States,2,2011
1010data,Software,35000000,operating,United States,1,2000
10°North,Fashion,0,operating,Canada,1,2014
10BestThings,Curated Web,50000,closed,United States,1,2009
10seconds Software,Mobility,100000,operating,Australia,1,2009
10X Technologies,Biotechnology,3000000,operating,United States,1,2012
10X10 Room,Software,77500,operating,United States,1,2010
117go,Social Travel,20000000,operating,China,1,2011
120 Sports,Sports,0,operating,United States,1,2013
121 Rentals,Real Estate,0,operating,United States,1,2011
121cast,Mobile,270000,operating,Australia,2,2012
121nexus,Pharmaceuticals,794000,operating,United States,6,2011
123ContactForm,SaaS,0,operating,ROM,1,2008
1248,Software,378812,operating,United Kingdom,1,2013
12Bis,Unknown,130636,operating,France,1,2008
12Return,Software,619494,operating,Netherlands,1,2010
12Society,E-Commerce,0,acquired,United States,1,2012
1366 Technologies,Manufacturing,66450000,operating,United States,8,2007
13th Lab,Mobile,700000,operating,Sweden,1,2010
140 Proof,Advertising,5500000,operating,United States,2,2010
140Fire,Entertainment,500000,operating,United States,1,2010
15Five,Software,3400000,operating,United States,3,2011
16 Mile Solutions,Software,199957,operating,United States,1,2006
169 ST.,Games,50000,operating,United States,1,2009
17u.cn,Travel,84440319,operating,China,3,2004
19pay,Finance,9478511,operating,China,3,2005
1bib,Curated Web,0,closed,China,1,2006
1calendar,Education,40000,operating,Denmark,1,2009
1Cast,Lifestyle,0,closed,United States,1,2006
1CLICK,Chat,0,operating,India,1,2012
1CloudStar,File Sharing,0,operating,Singapore,1,2012
1DayMakeover,E-Commerce,50000,closed,United States,1,2008
1DocWay,Video Chat,0,operating,United States,1,2011
1Energy Systems,Software,1450000,operating,United States,1,2010
1Life Healthcare,Health and Wellness,30000000,operating,United States,1,2002
1Mind,Social Media,500000,operating,United States,1,2011
1o1Media,Photography,0,operating,Germany,1,2012
1RP Media,Unknown,0,operating,United States,1,2011
1SDK,Predictive Analytics,156000,operating,Germany,2,2013
1spire,Manufacturing,30000,operating,United States,1,2011
1st Choice Lawn Care,Unknown,0,operating,United States,1,2012
1stdibs,E-Commerce,117000000,operating,United States,4,2001
1stGig.com,E-Commerce,750000,operating,United States,1,2009
1V1 DRAFT GAEMS,Unknown,0,operating,United States,1,2014
1World Online,Enterprise Software,1500000,operating,United States,2,2011
2 Minutes,Games,1660000,operating,France,1,2000
2-Observe,Unknown,204189,operating,Belgium,1,2010
20/20 Gene Systems Inc.,Biotechnology,150000,operating,United States,1,2000
2080 Media,News,41000000,operating,United States,5,2008
20:20 Mobile,Mobile,29750000,operating,Ireland,1,2006
20lines,Curated Web,1236454,operating,Italy,3,2012
20x200,Art,2800000,operating,United States,2,2007
21Cake Food Co.,Manufacturing,1464128,operating,China,1,2004
21Diamonds,E-Commerce,6369507,operating,India,1,2012
21000000,Big Data,5050000,operating,United States,1,2013
21viaNet,Software,100000000,operating,China,2,2009
22seeds,Software,250000,operating,Israel,1,2010
2345.com,Software,1610541,operating,China,2,2005
2359 Media,Mobile,615000,operating,Singapore,1,2009
23andMe,Biotechnology,111949900,operating,United States,6,2006
23press,Blogging Platforms,50000,operating,Canada,1,2011
24 Hour Pro Muscle Gym,Sports,0,operating,United States,1,2014
248 SolidState,Unknown,500000,operating,United States,1,2007
24Fundraiser.com,Social Fundraising,400000,operating,United States,1,2007
24M Technologies,Clean Technology,16000000,operating,United States,1,2010
24PageBooks,Software,50000,closed,United States,1,2010
24Symbols,Software,0,operating,Spain,1,2010
24x7 Learning,Education,4000000,operating,India,1,2001
250ok,Software,200000,operating,United States,1,2012
265 Network,Software,2000000,operating,China,1,2004
27 bards,Tourism,0,operating,United States,1,2011
27 Perry,E-Commerce,118000,closed,United States,1,2012
28msec,Software,5844811,operating,United States,1,2008
2AdPro Media Solutions,Outsourcing,0,operating,United States,1,2006
2B Angels,Unknown,1000000,operating,Israel,1,2009
2C2P,Software,3000000,operating,Thailand,3,2003
2can,Mobile,7000000,operating,Russian Federation,2,2012
2Catalyze,Software,6785876,operating,Canada,1,2008
2CRisk,Software,383000,operating,Australia,2,2010
2degreesmobile,Mobile,165000000,operating,New Zealand,1,2009
2DOLife.com,Software,250000,operating,United States,1,2011
2GO Mobile Solutions,Software,275000,operating,United States,1,2008
2heuresavant,Unknown,33457,operating,France,1,2010
2houses,Curated Web,966728,operating,Belgium,2,2011
2nd Watch,Corporate IT,37644420,operating,United States,4,2010
2NDNATURE,Unknown,20000,operating,United States,1,2004
2NGageU,Mobile Social,58000,operating,United States,1,2011
2Nite2Nite.net,Advertising,6000,operating,United States,1,2013
2threads,Art,300000,operating,Australia,2,2004
2U,Software,95875000,operating,United States,6,2008
2Vancouver,Navigation,80000,operating,Canada,1,2012
3 Four 5 Group,Unknown,0,operating,United States,1,2012
3-V Biosciences,Biotechnology,78089000,operating,United States,4,2007
30 Second Showcase,Photography,25000,operating,United States,1,2013
303 Luxury Car Service,Transportation,0,operating,United States,1,2013
312 Capital,Finance,500000,operating,United States,1,2013
31Dover,Wine And Spirits,2274716,operating,United Kingdom,1,2012
3225 films,News,0,operating,United States,1,2010
33Across,Advertising,25654560,operating,United States,5,2007
360Cities,Maps,0,operating,Czechia,1,2007
360Guanxi,Life Sciences,5000000,operating,China,1,2000
360imaging,Biotechnology,1000000,operating,United States,2,2005
360incentives.com,Software,7650000,operating,Canada,1,2008
360Learning,Corporate Training,1543920,operating,France,1,2010
360pi,Artificial Intelligence,4100000,operating,Canada,2,2007
360T,Finance,0,operating,Germany,1,2000
365 Data Centers,Services,16000000,operating,United States,1,2012
365 docobites,Entertainment,0,operating,Australia,1,2013
365 Retail Markets,Software,0,operating,United States,1,2009
365looks,Fashion,73047,operating,Spain,2,2011
365Scores,Sports,6700000,operating,Israel,2,2008
37coins,Bitcoin,25000,operating,United States,1,2014
37mhealth,Mobile,1629549,operating,China,1,2013
382 Communications,Mobile,1600000,operating,United States,1,2010
3BaysOver,Online Travel,1719583,operating,Switzerland,2,2011
3C Plus,Web Development,75000,operating,Brazil,1,2013
3CI,Biotechnology,133620,operating,Italy,1,2008
3ClickEMR Corporation,Electronic Health Records,500000,closed,United States,2,2010
3CLogic,Customer Service,5740000,operating,United States,2,2005
3D Biomatrix,Biotechnology,1465000,operating,United States,1,2010
3D Control Systems,Enterprise Software,28000,operating,United States,1,2013
3D Data,Unknown,250000,operating,United States,1,2013
3D FUTURE VISION II,Games,503000,closed,United States,2,2011
3D Hubs,3D Printing,4500000,operating,Netherlands,2,2013
3D Industri.es,3D,1200000,operating,United States,2,2011
3D Robotics,Drones,35000000,operating,United States,3,2009
3D Sports Technology,Software,909940,operating,United States,3,2010
3d Vision Systems,Hardware + Software,150000,operating,United States,1,2009
3D-4U,Unknown,750000,operating,United States,1,2012
3DBin,E-Commerce,400000,operating,United States,1,2009
3Derm Systems,Physicians,0,operating,United States,1,2012
3Discovered,Automotive,0,operating,United States,1,2013
3DiVi Company,Software,2670000,operating,Russian Federation,2,2011
3DSoC,Mobile,2065000,operating,India,2,2006
3FLOZ,Health and Wellness,750000,operating,United States,1,2009
3Funnel,Business Analytics,0,operating,France,1,2013
3G Multimedia,Mobile,1700000,operating,Hungary,2,2009
3Guppies,Music,20000000,operating,United States,1,2003
3GV8 International Inc,Mobile,746185,operating,China,2,2005
3i Systems,Semiconductors,13708150,closed,China,3,2006
3Jam,Messaging,4000000,operating,United States,1,2005
3KeyIt,Software,0,operating,United States,1,2007
3Leaf,Web Hosting,65000000,acquired,United States,3,2004
3Pillar Global,Software,25920000,operating,United States,4,2006
3Play Media,Software,1011601,operating,United States,3,2007
3rd Planet,Curated Web,1500000,operating,China,2,2010
3ROAM,Mobile,1394250,operating,France,1,2005
3scale,Developer APIs,5000000,operating,Spain,2,2007
3Scan,Biotechnology,390000,operating,United States,3,2011
3seventy,Software,2000000,operating,United States,1,2008
3Sourcing,Human Resources,0,operating,United States,1,2012
3sun,Clean Technology,15152514,operating,United Kingdom,1,2007
3TEN8,Software,1000000,operating,United States,1,2013
3Touch,Software,272000,closed,Ireland,1,2003
3V Transaction Services,Online Shopping,25500000,operating,Ireland,1,2004
3VR,Security,56567194,operating,United States,6,2002
3X Systems,Flash Storage,3393925,operating,United States,2,2007
4 the stars,Networking,1000,operating,Botswana,1,2013
4-Tell,E-Commerce,2234979,operating,United States,5,2009
405Labs,Machine Learning,81000,operating,United States,1,2014
40billion.com,Entrepreneur,1050000,operating,United States,3,2008
410 Labs,Messaging,750000,operating,United States,1,2010
41st Parameter,Security,38064570,acquired,United States,4,2004
42,Enterprise Software,800000,operating,United States,2,2013
422 Group,Software,1000000,operating,United States,1,2004
42Floors,Commercial Real Estate,17400000,operating,United States,4,2011
42matters AG,Promotional,0,operating,Switzerland,2,2011
"43 Things, The Robot Co-op",Software,0,operating,United States,1,2004
480 Biomedical,Biotechnology,37956999,operating,United States,3,2011
48domain,Web Design,0,operating,United States,1,2014
4Blox,Software,0,closed,United States,1,2006
4C Insights,Analytics,0,operating,United States,1,2011
4Cable TV,Clean Technology,20900,operating,United States,1,2005
4DK Technologies,Mobile,3378975,operating,United States,1,2005
4Home,Cloud Computing,9416354,acquired,United States,6,2006
4INFO,Advertising,70288000,operating,United States,8,2004
4moms,Hardware + Software,60000000,operating,United States,4,2005
4Soils,Kids,50000,operating,United States,1,2012
4Tech,Biotechnology,7000000,operating,United States,1,2011
4th aspect,Advertising,1121081,operating,United Kingdom,4,2010
4tiitoo GmbH,Interface Design,0,operating,Germany,1,2007
4vets,Pets,762500,operating,Brazil,1,2013
5 CUPS and some sugar,Curated Web,385980,operating,Germany,1,2012
5 examples,Software,250000,operating,United States,1,2004
5 O'Clock Records,Software,440000,operating,United States,2,2012
5 Star Mobile,Consumer Electronics,180000,operating,United States,1,2013
5 Star Quarterback,Sports,0,operating,United States,1,2011
50 Partners,Venture Capital,0,operating,France,1,2012
500Friends,E-Commerce,12900000,acquired,United States,6,2010
500px,Photography,9325000,operating,Canada,2,2009
51 Give,Carbon,0,operating,China,1,2007
51.com,Software,27000000,operating,China,3,2005
5151tuan,Real Estate,2928257,operating,China,1,2009
5173.com,E-Commerce,9300000,operating,China,3,2002
51aiya.com,Health Care,389673,operating,China,1,2012
51edu,Education,0,operating,China,2,2001
51fanli,Online Shopping,20000000,operating,China,2,2006
51intern.com è‹±è…¾ç½‘,Career Management,0,operating,China,1,2010
51Talk,Education,65100000,operating,China,4,2011
51wan,Games,1500000,operating,China,2,2007
556 Fitness,Unknown,0,operating,United States,1,2009
55tuan.com,E-Commerce,200000000,operating,China,2,2010
56.com,Photography,30000000,acquired,China,2,2005
58.com,Software,876780000,operating,China,6,2005
5app,Web Design,5100000,operating,United Kingdom,1,2011
5BARz International,Technology,6100000,operating,United States,2,2008
5min Media,Video,12800000,acquired,United States,3,2007
5minutes,Social Media,15873,operating,United Kingdom,1,2011
5nine Software,Unknown,0,operating,United States,1,2009
5o9,Software,50000,operating,United States,1,2006
5Rocks,Games,3987693,acquired,"Korea, Republic of",2,2013
5th Avenue Media,Distribution,250000,operating,United States,1,2012
5th Finger,Mobile,7000000,operating,United States,1,2008
5th Planet Games,Mobile Games,3000000,operating,United States,1,2009
5to1,Internet Marketing,17129760,acquired,United States,4,2009
60mo,Finance,1300000,acquired,United Kingdom,3,2009
64 Pixels,Curated Web,100000,operating,United States,1,2010
640 Labs,Software,3050000,operating,United States,3,2013
6connect,Web Hosting,2000000,operating,United States,1,2009
6fusion,Enterprise Software,25250000,operating,United States,5,2008
6Qube,Unknown,100000,operating,United States,1,2009
6Scan,Security,0,operating,Israel,3,2011
6Sense,Predictive Analytics,12000000,operating,United States,2,2013
6SensorLabs,Unknown,4000000,operating,United States,1,2013
6th Sense Analytics,Software,6700000,acquired,United States,2,2004
6th Wave Innovations Corporation,Nanotechnology,0,operating,United States,1,2013
6Waves,Games,52588928,operating,Hong Kong,2,2008
6Wunderkinder,Software,23857750,operating,Germany,5,2010
7 Billion People,E-Commerce,6528902,closed,United States,3,2006
7 Cups of Tea,Health and Wellness,0,operating,United States,2,2013
71lbs,Small and Medium Businesses,2450000,operating,United States,5,2011
720°,Predictive Analytics,190035,operating,Finland,1,2012
77 Pieces,Curated Web,650000,closed,New Zealand,1,2010
777 Davis,Unknown,2875000,operating,United States,1,2011
79 Group,Manufacturing,1500000,operating,United States,1,2012
7AC Technologies,Clean Technology,11110000,operating,United States,5,2009
7billionideas,Social Media,47566,operating,United Kingdom,1,2011
7digital,Music,20100000,acquired,United Kingdom,4,2004
